episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,0,stage_1,-1.0,-0.2,0.0,1022.7390535589044,True,False,False,0.7138102502742051,0.2710201144218445,1.0439646679239087,0.34352829545291136,0.34352829545291136,0.7004363724709974,90,1.0,0.0,90.0,1022.7390535589044,running,,,
1,0,stage_1,-1.0,-0.2,0.0,1020.7972857700013,True,False,False,0.7149053697430259,0.28692910075187683,1.0439667650755182,0.3499462898395135,0.3499462898395135,0.6940204752360047,78,1.0,0.0,84.0,1021.7681696644529,running,-556.1927490234375,139.9141845703125,0.24406521022319794
2,0,stage_1,-1.0,-0.2,0.0,1021.0826851199946,True,False,False,0.719992198254054,0.2925717234611511,1.04396401537544,0.3440033721877523,0.3440033721877523,0.6999606431876877,79,1.0,0.0,82.33333333333333,1021.5396748163001,running,0.0,64.06771087646484,0.23896320164203644
3,0,stage_1,-1.0,-0.2,0.0,1021.5268435750802,True,False,False,0.7308107648124957,0.2721251845359802,1.043966757321374,0.34404727243044625,0.34404727243044625,0.6999194848909278,81,1.0,0.0,82.0,1021.5364670059951,running,-534.619873046875,35.14222717285156,0.2346476912498474
4,0,stage_1,-1.0,-0.2,0.0,1021.4420288452557,True,False,False,0.7274588001553873,0.2704429626464844,1.043964754035569,0.34589960065969144,0.34589960065969144,0.6980651533758775,80,1.0,0.0,81.6,1021.5175793738472,running,-565.5850219726562,56.04573059082031,0.2298227697610855
5,0,stage_1,-1.0,-0.2,0.0,1021.2000784865164,True,False,False,0.7162547322286384,0.28758329153060913,1.0439667566492548,0.34848749257452355,0.34848749257452355,0.6954792640747312,78,1.0,0.0,81.0,1021.4646625592922,running,-557.5648193359375,71.0146255493164,0.22481806576251984
6,0,stage_1,-1.0,-0.2,0.0,1021.2678922047968,True,False,False,0.7194593775784013,0.2844304144382477,1.0439712195414632,0.3476848041943075,0.3476848041943075,0.6962864153471557,76,1.0,0.0,80.28571428571429,1021.4365525086499,running,-537.9029541015625,49.01026153564453,0.21967491507530212
7,0,stage_1,-1.0,-0.2,0.0,1021.4924681234243,True,False,False,0.7131976859533209,0.2693465054035187,1.0439646748970017,0.3469246566538934,0.3469246566538934,0.6970400182431084,77,1.0,0.0,79.875,1021.4435419604968,running,0.0,29.683792114257812,0.21592232584953308
8,0,stage_1,-1.0,-0.2,0.0,1021.0874034155645,True,False,False,0.716669058429062,0.28751999139785767,1.0439646739981399,0.3452666942304883,0.3452666942304883,0.6986979797676516,73,1.0,0.0,79.11111111111111,1021.4039710110598,running,-559.36279296875,36.86885452270508,0.21144448220729828
9,0,stage_1,-1.0,-0.2,0.0,1021.0675890953069,True,False,False,0.7235150802527892,0.28341642022132874,1.0439667423222914,0.3448165822305562,0.3448165822305562,0.6991501600917351,76,1.0,0.0,78.8,1021.3703328194845,running,-514.7926635742188,110.238525390625,0.20715121924877167
