goal_index,goal_mode,goal_x,goal_y,goal_yaw,success,collision,timeout,reward,steps,duration_sec
0,absolute,-1.0,-0.2,0.0,False,False,True,-52.488487133866656,250,28.374622344970703
1,absolute,-0.7,-0.1,0.0,False,False,True,-110.15403185788396,250,28.403843641281128
2,absolute,-0.5,0.0,0.0,False,False,True,-106.80113971115509,250,28.266987562179565
3,absolute,-0.3,0.0,0.0,False,False,True,-139.061671876673,250,28.419244289398193
4,local_offset,-1.5999302652800829,-0.4999989245120096,2.8561930746641864e-06,True,False,False,1003.7006393420572,8,0.9084005355834961
5,local_offset,-1.399931317223629,-0.49999829559719783,2.1782576692475878e-06,False,False,True,17.67554695594952,250,28.397676706314087
6,local_offset,-1.199931300477944,-0.4999978269690902,2.2215878038489133e-06,False,False,True,3.864968801283772,250,28.466010093688965
7,local_offset,-1.4499317551203201,-0.2499984144619567,2.253159231997682e-06,False,False,True,12.158003589806421,250,28.324578523635864
8,local_offset,-1.4499300719727655,-0.7499985971578729,2.419616416944954e-06,False,False,True,39.636057729940546,250,28.36356782913208
9,local_offset,-1.2499319744797117,-0.14999802009914592,2.1913847000275627e-06,False,False,True,3.9484197369976277,250,28.43197989463806
10,local_offset,-1.249932558458761,-0.8499980827428562,2.272378391615104e-06,False,False,True,-3.358373281898756,250,28.219149589538574
