goal_index,goal_mode,goal_x,goal_y,goal_yaw,success,collision,timeout,reward,steps,duration_sec
0,absolute,-1.0,-0.2,0.0,True,False,False,1022.2922766916818,86,9.71804690361023
1,absolute,-0.7,-0.1,0.0,True,False,False,947.9145967347035,128,14.701367855072021
2,absolute,-0.5,0.0,0.0,True,False,False,773.0215776590001,217,24.648648262023926
3,absolute,-0.3,0.0,0.0,True,False,False,840.0181976280597,213,24.186613082885742
4,local_offset,-1.5999310525578145,-0.4999717954297581,6.759472464496054e-05,True,False,False,1003.7725189495318,8,0.9309711456298828
5,local_offset,-1.399931196840583,-0.4999983151898943,2.2220770345725267e-06,True,False,False,1012.979453391588,32,3.615119457244873
6,local_offset,-1.1999333523677718,-0.49999788380370536,2.386034863019233e-06,True,False,False,1017.5512372010504,56,6.383111476898193
7,local_offset,-1.4533892373499662,-0.2422688533243596,0.01356633703546476,True,False,False,1012.9367178475836,33,3.7182302474975586
8,local_offset,-1.4499306548422306,-0.7499984318827206,2.2391481109162306e-06,True,False,False,1013.3526590714845,33,3.686922788619995
9,local_offset,-1.249931969933434,-0.14999804239817432,2.1529892667467157e-06,True,False,False,1018.0798921114296,59,6.639956712722778
10,local_offset,-1.2499325031464013,-0.8499980265514877,2.357065294980032e-06,True,False,False,1018.1973798297408,59,6.720840692520142
