episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,0,local_forward_04,-1.5999312126651763,-0.4999987780168103,2.2122265343664973e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.9018035941328,True,False,False,0.06062588718137674,0.4869404435157776,0.3999999999999999,0.34114415626867917,0.34114415626867917,0.058855843731320745,8,1.0,0.0,8.0,1003.9018035941328,running,,,
1,0,local_forward_04,-1.5999298762624097,-0.49999875238609104,2.207390045574173e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8007957234158,True,False,False,0.0543061476587233,0.48412713408470154,0.4000000000000001,0.34647608616859027,0.34647608616859027,0.05352391383140981,8,1.0,0.0,8.0,1003.8512996587743,running,,,
2,0,local_forward_04,-1.5999312034766202,-0.49999875677640343,2.2500300988803546e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8008201468184,True,False,False,0.05301371803290768,0.4862666726112366,0.40000000000000013,0.3478117868258481,0.3478117868258481,0.05218821317415201,8,1.0,0.0,8.0,1003.8344731547891,running,,,
3,0,local_forward_04,-1.5999301354609174,-0.499998931276167,2.4607537522607067e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8301270521538,True,False,False,0.05807300590628953,0.4844851791858673,0.39999999999999997,0.34309658498053813,0.34309658498053813,0.056903415019461834,8,1.0,0.0,8.0,1003.8333866291302,running,,,
4,0,local_forward_04,-1.5999310303562082,-0.4999990910815798,2.5013501492174844e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.6925897221734,True,False,False,0.05204172818174817,0.4914463460445404,0.4,0.3492981974078492,0.3492981974078492,0.050701802592150846,8,1.0,0.0,8.0,1003.8052272477389,running,,,
5,0,local_forward_04,-1.5999311837492693,-0.49999876119417336,2.2376654459889805e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8491267200486,True,False,False,0.05515529004800586,0.48335322737693787,0.3999999999999999,0.3460934781163644,0.3460934781163644,0.05390652188363554,8,1.0,0.0,8.0,1003.8125438264573,running,,,
6,0,local_forward_04,-1.5999333600903616,-0.4999988489384914,2.3501718954577436e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.9029482741494,True,False,False,0.05802690746529326,0.48158693313598633,0.3999999999999999,0.3435387756777208,0.3435387756777208,0.056461224322279124,8,1.0,0.0,8.0,1003.8254587475561,running,,,
7,0,local_forward_04,-1.599931317438408,-0.49999878019994637,2.070501585611808e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1004.0909068519101,True,False,False,0.05462285855103388,0.4839741885662079,0.39999999999999997,0.34686381757438395,0.34686381757438395,0.05313618242561602,9,1.0,0.0,8.125,1003.8586397606005,running,,,
8,0,local_forward_04,-1.599931212210027,-0.4999987418172884,2.2762288026304424e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.9432530753601,True,False,False,0.055657017404413825,0.49148809909820557,0.4000000000000001,0.34545345230635544,0.34545345230635544,0.05454654769364464,8,1.0,0.0,8.11111111111111,1003.8680412400182,running,,,
9,0,local_forward_04,-1.5999333383045096,-0.49999886067790417,2.3264158577478976e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.9345314086072,True,False,False,0.06055362821384275,0.4840228259563446,0.40000000000000013,0.3408107488368298,0.3408107488368298,0.05918925116317031,8,1.0,0.0,8.1,1003.8746902568771,running,,,
10,0,local_forward_04,-1.5999312349893022,-0.4999987788864038,2.190554187129026e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8605395969865,True,False,False,0.058006788483245274,0.4780016839504242,0.39999999999999997,0.343389458375084,0.343389458375084,0.056610541624915967,8,1.0,0.0,8.090909090909092,1003.8734038332507,running,,,
11,0,local_forward_04,-1.5999302696454847,-0.49999888524632974,2.443968482884174e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.8342729139916,True,False,False,0.05907970617311482,0.4878185987472534,0.3999999999999999,0.3423404925619481,0.3423404925619481,0.057659507438051816,8,1.0,0.0,8.083333333333334,1003.8701429233124,running,,,
12,0,local_forward_04,-1.5999312957446183,-0.49999874574507347,2.1493384911699515e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3290995562055,True,False,False,0.05787594706210516,0.4844170808792114,0.40000000000000013,0.34477916528059155,0.34477916528059155,0.055220834719408585,7,1.0,0.0,8.0,1003.8285242027657,running,-414.5035095214844,26882.580078125,0.1834898442029953
13,0,local_forward_04,-1.5999303829202338,-0.4999990743803656,2.6035414237989936e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.5807971286848,True,False,False,0.055671750388407215,0.4839658737182617,0.4,0.34474945662794837,0.34474945662794837,0.05525054337205165,7,1.0,0.0,7.928571428571429,1003.81082941176,running,0.0,29536.98046875,0.18398340046405792
14,0,local_forward_04,-1.59993120529206,-0.4999987485868842,2.2797675367254936e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.5394376918251,True,False,False,0.06009622146424379,0.4825555980205536,0.39999999999999997,0.3417469070396373,0.3417469070396373,0.058253092960362685,7,1.0,0.0,7.866666666666666,1003.7927366304309,running,-771.922119140625,27142.390625,0.18580526113510132
15,0,local_forward_04,-1.599938441394523,-0.4999987706612766,2.2563386446621954e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.2546013000671,True,False,False,0.05649386259936103,0.4966961741447449,0.4,0.3476183503981677,0.3476183503981677,0.052381649601832336,7,1.0,0.0,7.8125,1003.7591031722832,running,0.0,15611.5478515625,0.18714378774166107
16,0,local_forward_04,-1.5999312215019872,-0.49999876968628726,2.2282486328592716e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3366125933719,True,False,False,0.060059306998170664,0.4883778691291809,0.39999999999999997,0.34474507408291705,0.34474507408291705,0.05525492591708292,7,1.0,0.0,7.764705882352941,1003.7342507852884,running,-779.2061157226562,12292.3525390625,0.18881864845752716
17,0,local_forward_04,-1.5999366448805978,-0.4999989138843913,2.208953855157453e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3257092598892,True,False,False,0.059597094498935216,0.4929688274860382,0.3999999999999999,0.34517235354888925,0.34517235354888925,0.054827646451110656,7,1.0,0.0,7.722222222222222,1003.7115540338774,running,0.0,7512.96923828125,0.19035722315311432
18,0,local_forward_04,-1.599930206218582,-0.4999986758107081,2.2553636219075358e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.2460654655207,True,False,False,0.05674413011391139,0.4890555441379547,0.4000000000000001,0.3475353883386397,0.3475353883386397,0.052464611661360405,7,1.0,0.0,7.684210526315789,1003.687054635543,running,-878.5166625976562,4641.70654296875,0.19257839024066925
19,0,local_forward_04,-1.599931509644656,-0.4999987940507573,2.2471103149547713e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3013355550992,True,False,False,0.05967967161250933,0.49113017320632935,0.39999999999999997,0.3450224923882399,0.3450224923882399,0.05497750761176007,7,1.0,0.0,7.65,1003.6677686815207,running,0.0,2552.07958984375,0.19418933987617493
20,0,local_forward_04,-1.5999323459414738,-0.49999936051596167,2.7840610482764727e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3427296694324,True,False,False,0.06227779874389423,0.4914293885231018,0.4,0.34331953603998494,0.34331953603998494,0.05668046396001508,7,1.0,0.0,7.6,1003.6398149852855,running,-890.6048583984375,2810.9453125,0.19636158645153046
21,0,local_forward_04,-1.5999296435612278,-0.49999877119922,2.324929842595211e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.63608982999,True,False,False,0.05930701077305347,0.4841283857822418,0.4000000000000001,0.346612636300851,0.346612636300851,0.05338736369914909,8,1.0,0.0,7.6,1003.6315796906141,running,-897.5894775390625,826.381103515625,0.1985163390636444
22,0,local_forward_04,-1.5999312220554769,-0.49999880257695234,2.136953925404278e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3025504909573,True,False,False,0.058875620511202154,0.4902200400829315,0.39999999999999997,0.3458025348427802,0.3458025348427802,0.05419746515721979,7,1.0,0.0,7.55,1003.606666207821,running,0.0,1227.664794921875,0.20004506409168243
23,0,local_forward_04,-1.599931191568169,-0.4999987475543547,2.2611692940808923e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3144134402938,True,False,False,0.0603227538244098,0.48586857318878174,0.39999999999999997,0.3447208217468802,0.3447208217468802,0.05527917825311979,7,1.0,0.0,7.5,1003.5808805272279,running,-923.0896606445312,1362.601806640625,0.20200489461421967
24,0,local_forward_04,-1.59993122159889,-0.4999987767203967,2.1941270269561485e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1002.8805238384917,True,False,False,0.0547586149257029,0.48790091276168823,0.39999999999999997,0.3488419330786146,0.3488419330786146,0.05115806692138536,6,1.0,0.0,7.4,1003.5402772330441,running,-914.6148681640625,982.8184814453125,0.20341728627681732
25,0,local_forward_04,-1.599931322534918,-0.49999875879044364,2.117888642465136e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.4249029567751,True,False,False,0.06266554918847057,0.4944848418235779,0.39999999999999997,0.3422632849587884,0.3422632849587884,0.057736715041211584,7,1.0,0.0,7.35,1003.5190660448804,running,0.0,800.624755859375,0.2047959268093109
26,0,local_forward_04,-1.5999312873356812,-0.49999874408222617,2.167242361074655e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.3559850057329,True,False,False,0.05933301831198381,0.49195176362991333,0.4000000000000001,0.34516245608785634,0.34516245608785634,0.05483754391214374,7,1.0,0.0,7.3,1003.4917178814596,running,-926.3267211914062,1034.24267578125,0.20654740929603577
27,0,local_forward_04,-1.5999312138772914,-0.49999879279511295,2.158245631248289e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1002.9594689072655,True,False,False,0.057987980054677146,0.4783374071121216,0.4,0.34614048990371515,0.34614048990371515,0.05385951009628487,6,1.0,0.0,7.15,1003.4351459842273,running,-931.1529541015625,559.9558715820312,0.20778854191303253
28,0,local_forward_04,-1.5999370085072757,-0.49999885352231765,2.239773419981757e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1002.8998081735391,True,False,False,0.058380546758021935,0.492474228143692,0.4,0.346075143805835,0.346075143805835,0.05392485619416504,6,1.0,0.0,7.05,1003.3829737391363,running,-939.186767578125,709.0809936523438,0.2089603990316391
29,0,local_forward_04,-1.599931202753022,-0.49999876123998144,2.255995308752302e-06,local_offset,0.4,0.0,0.0,-2.0,-0.5,0.0,1003.2877794697952,True,False,False,0.06076871824206923,0.48467937111854553,0.39999999999999997,0.3448883595012812,0.3448883595012812,0.05511164049871875,7,1.0,0.0,7.0,1003.3506361421958,promoted,0.0,540.8289794921875,0.2100955843925476
30,1,local_forward_06,-1.399931220359114,-0.4999983743314179,2.143814725276253e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1001.506923484573,True,False,False,1.0053236978054527,0.20338214933872223,0.6,0.3423572640105324,0.3423572640105324,0.2576427359894676,107,1.0,0.0,107.0,1001.506923484573,running,-833.285888671875,954.80029296875,0.21943144500255585
