stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,target_source,target_distance,target_heading,nearest_obstacle,safety_stop,drl_target_sign_disagreement,nav2_zero,drl_zero
1777713482.2246473,0.0,0.16,0.0,0.0,0.0,0.16,False,,nan,nan,nan,,False,False,True
1777713482.3251154,0.0,0.16,0.0765337273478508,0.7919775247573853,0.0765337273478508,0.6319775247573852,False,,nan,nan,nan,,False,False,False
1777713482.4256954,0.0,0.16,0.0765337273478508,0.7919775247573853,0.0765337273478508,0.6319775247573852,False,plan_lookahead,0.619,1.765,0.482,false,False,False,False
1777713482.5263016,0.0,0.32,0.0765337273478508,0.7919775247573853,0.0765337273478508,0.47197752475738525,False,plan_lookahead,0.619,1.765,0.482,false,False,False,False
1777713482.6266775,0.0,0.32,0.07653048634529114,0.7919394969940186,0.07653048634529114,0.47193949699401855,False,plan_lookahead,0.619,1.765,0.482,false,False,False,False
1777713482.727447,0.0,0.32,0.07653048634529114,0.7919394969940186,0.07653048634529114,0.47193949699401855,False,plan_lookahead,0.619,1.749,0.482,false,False,False,False
1777713482.828772,0.01368421052631579,0.7894736842105262,0.07653048634529114,0.7919394969940186,0.06284627581897535,0.0024658127834923382,False,plan_lookahead,0.619,1.749,0.482,false,False,False,False
1777713482.9292178,0.01368421052631579,0.7894736842105262,0.07633678615093231,0.790882408618927,0.06265257562461653,0.0014087244084007855,False,plan_lookahead,0.619,1.749,0.482,false,False,False,False
1777713483.0295305,0.01368421052631579,0.7894736842105262,0.07633678615093231,0.790882408618927,0.06265257562461653,0.0014087244084007855,False,plan_lookahead,0.619,1.695,0.489,false,False,False,False
1777713483.1300263,0.12315789473684209,0.9999999999999999,0.07633678615093231,0.790882408618927,0.04682110858590978,0.2091175913810729,False,plan_lookahead,0.619,1.695,0.489,false,False,False,False
1777713483.2303727,0.12315789473684209,0.9999999999999999,0.07631179690361023,0.7905967235565186,0.04684609783323186,0.20940327644348133,False,plan_lookahead,0.619,1.695,0.489,false,False,False,False
1777713483.3309062,0.12315789473684209,0.9999999999999999,0.07631179690361023,0.7905967235565186,0.04684609783323186,0.20940327644348133,False,plan_lookahead,0.619,1.612,0.489,false,False,False,False
1777713483.4313602,0.20710526315789474,0.9999999999999999,0.07631179690361023,0.7905967235565186,0.1307934662542845,0.20940327644348133,False,plan_lookahead,0.619,1.612,0.489,false,False,False,False
1777713483.5316882,0.20710526315789474,0.9999999999999999,0.07605710625648499,0.7880683541297913,0.13104815690140975,0.21193164587020863,False,plan_lookahead,0.619,1.612,0.489,false,False,False,False
1777713483.6320944,0.20710526315789474,0.9999999999999999,0.07605710625648499,0.7880683541297913,0.13104815690140975,0.21193164587020863,False,plan_lookahead,0.619,1.462,0.479,false,False,False,False
1777713483.7328393,0.26,0.894736842105263,0.07605710625648499,0.7880683541297913,0.18394289374351502,0.10666848797547179,False,plan_lookahead,0.619,1.462,0.479,false,False,False,False
1777713483.8333602,0.26,0.894736842105263,0.0759585052728653,0.7867330312728882,0.1840414947271347,0.10800381083237487,False,plan_lookahead,0.619,1.462,0.479,false,False,False,False
1777713483.9337888,0.26,0.894736842105263,0.0759585052728653,0.7867330312728882,0.1840414947271347,0.10800381083237487,False,plan_lookahead,0.614,1.195,0.499,false,False,False,False
1777713484.0344574,0.26,0.6842105263157894,0.0759585052728653,0.7867330312728882,0.1840414947271347,0.1025225049570988,False,plan_lookahead,0.614,1.195,0.499,false,False,False,False
1777713484.1350107,0.26,0.6842105263157894,0.07558067888021469,0.7828390002250671,0.18441932111978532,0.09862847390927776,False,plan_lookahead,0.614,1.195,0.499,false,False,False,False
1777713484.235351,0.26,0.6842105263157894,0.07558067888021469,0.7828390002250671,0.18441932111978532,0.09862847390927776,False,plan_lookahead,0.602,0.965,0.536,false,False,False,False
1777713484.3360198,0.26,0.36842105263157887,0.07558067888021469,0.7828390002250671,0.18441932111978532,0.41441794759348827,False,plan_lookahead,0.602,0.965,0.536,false,False,False,False
1777713484.436406,0.26,0.36842105263157887,0.07459679245948792,0.770605206489563,0.1854032075405121,0.4021841538579841,False,plan_lookahead,0.602,0.965,0.536,false,False,False,False
1777713484.5367339,0.26,0.36842105263157887,0.07459679245948792,0.770605206489563,0.1854032075405121,0.4021841538579841,False,plan_lookahead,0.611,0.683,0.634,false,False,False,False
1777713484.6372428,0.24631578947368427,0.26315789473684204,0.07459679245948792,0.770605206489563,0.17171899701419635,0.507447311752721,False,plan_lookahead,0.611,0.683,0.634,false,False,False,False
1777713484.7375667,0.24631578947368427,0.26315789473684204,0.07379495352506638,0.7393254041671753,0.1725208359486179,0.47616750943033326,False,plan_lookahead,0.611,0.683,0.634,false,False,False,False
1777713484.8378994,0.24631578947368427,0.26315789473684204,0.07379495352506638,0.7393254041671753,0.1725208359486179,0.47616750943033326,False,plan_lookahead,0.61,0.464,0.68,false,False,False,False
1777713484.9384193,0.26,0.1578947368421052,0.07379495352506638,0.7393254041671753,0.18620504647493363,0.5814306673250701,False,plan_lookahead,0.61,0.464,0.68,false,False,False,False
1777713485.0388734,0.26,0.1578947368421052,0.03999999910593033,0.40306732058525085,0.22000000089406968,0.24517258374314566,False,plan_lookahead,0.61,0.464,0.68,false,False,False,False
1777713485.1391568,0.26,0.1578947368421052,0.03999999910593033,0.40306732058525085,0.22000000089406968,0.24517258374314566,False,plan_lookahead,0.603,0.295,0.658,false,False,False,False
1777713485.2396317,0.24631578947368427,0.05263157894736836,0.03999999910593033,0.40306732058525085,0.20631579036775394,0.3504357416378825,False,plan_lookahead,0.603,0.295,0.658,false,False,False,False
1777713485.339974,0.24631578947368427,0.05263157894736836,0.03999999910593033,0.20510880649089813,0.20631579036775394,0.15247722754352977,False,plan_lookahead,0.603,0.295,0.658,false,False,False,False
1777713485.4403024,0.24631578947368427,0.05263157894736836,0.03999999910593033,0.20510880649089813,0.20631579036775394,0.15247722754352977,False,plan_lookahead,0.613,0.122,0.628,false,False,False,False
1777713485.540765,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.20510880649089813,0.19263157984143814,0.15247722754352977,False,plan_lookahead,0.613,0.122,0.628,false,False,False,False
1777713485.641229,0.23263157894736847,0.05263157894736836,0.07230855524539948,-0.7635466456413269,0.160323023701969,0.8161782245886953,True,plan_lookahead,0.613,0.122,0.628,false,True,False,False
1777713485.7415738,0.23263157894736847,0.05263157894736836,0.07230855524539948,-0.7635466456413269,0.160323023701969,0.8161782245886953,True,plan_lookahead,0.602,-0.014,0.615,false,False,False,False
1777713485.8423183,0.26,-0.052631578947368474,0.07230855524539948,-0.7635466456413269,0.18769144475460053,0.7109150666939584,False,plan_lookahead,0.602,-0.014,0.615,false,False,False,False
1777713485.9428153,0.26,-0.052631578947368474,0.06362544745206833,-0.6464346647262573,0.19637455254793168,0.5938030857788889,False,plan_lookahead,0.602,-0.014,0.615,false,False,False,False
1777713486.0431898,0.26,-0.052631578947368474,0.06362544745206833,-0.6464346647262573,0.19637455254793168,0.5938030857788889,False,plan_lookahead,0.601,-0.064,0.58,false,False,False,False
1777713486.143827,0.26,0.05263157894736836,0.06362544745206833,-0.6464346647262573,0.19637455254793168,0.6990662436736257,True,plan_lookahead,0.601,-0.064,0.58,false,False,False,False
1777713486.2443154,0.26,0.05263157894736836,0.06610453128814697,-0.7325284481048584,0.19389546871185304,0.7851600270522268,True,plan_lookahead,0.601,-0.064,0.58,false,False,False,False
1777713486.3446476,0.26,0.05263157894736836,0.06610453128814697,-0.7325284481048584,0.19389546871185304,0.7851600270522268,True,plan_lookahead,0.607,-0.076,0.565,false,False,False,False
1777713486.4452295,0.24631578947368427,-0.052631578947368474,0.06610453128814697,-0.7325284481048584,0.1802112581855373,0.6798968691574899,False,plan_lookahead,0.607,-0.076,0.565,false,False,False,False
1777713486.5456471,0.24631578947368427,-0.052631578947368474,0.07104074209928513,-0.7722246646881104,0.17527504737439914,0.7195930857407419,False,plan_lookahead,0.607,-0.076,0.565,false,False,False,False
