episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,0,hard_forward_08,-0.9999312129101697,-0.4999974507373056,2.2122666237300112e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1021.500985463281,True,False,False,0.6631086374392329,0.42856645584106445,1.0,0.3454625062566827,0.3454625062566827,0.6545374937433173,2,0,0.42856645584106445,3.5,True,1.0,,,81,1.0,0.0,81.0,1021.500985463281,running,,,
1,0,hard_forward_08,-0.9999312133894774,-0.49999741902048744,2.244627935688061e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1019.4509248075722,True,False,False,0.7041241068306152,0.41512179374694824,1.0,0.3449964040740174,0.3449964040740174,0.6550035959259826,17,0,0.49087536334991455,3.5,True,1.0,,,74,1.0,0.0,77.5,1020.4759551354266,running,-565.1497192382812,2714.90185546875,0.18994595110416412
2,0,hard_forward_08,-0.9999333374313701,-0.49999739100249885,2.398026315612606e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1020.0648299093111,True,False,False,0.6666668344586313,0.4461930990219116,1.0,0.3438841846408221,0.3438841846408221,0.656115815359178,4,0,0.4461930990219116,3.5,True,1.0,,,70,1.0,0.0,75.0,1020.3389133933882,running,-578.1387329101562,200.84710693359375,0.18842720985412598
3,0,hard_forward_08,-0.9999312375074515,-0.49999748013419704,2.1815238294711313e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1020.7543003730347,True,False,False,0.6684141863281605,0.38614243268966675,1.0,0.3407498757028747,0.3407498757028747,0.6592501242971254,15,0,0.38614243268966675,3.5,True,1.0,,,67,1.0,0.0,73.0,1020.4427601382998,running,0.0,97.93679809570312,0.19116084277629852
4,0,hard_forward_08,-0.9999312347495163,-0.4999974791128999,2.185828054780747e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1019.6192325001114,True,False,False,0.6809976300062212,0.3661844730377197,1.0,0.3436377329944133,0.3436377329944133,0.6563622670055866,17,0,0.3661844730377197,3.5,True,1.0,,,71,1.0,0.0,72.6,1020.2780546106621,running,-572.8199462890625,95.41690826416016,0.18933826684951782
5,0,hard_forward_08,-0.9999333392142769,-0.4999974709821341,2.3196905353023726e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1019.0767605630778,True,False,False,0.6952097290525968,0.39577391743659973,1.0,0.348145734399844,0.348145734399844,0.651854265600156,18,0,0.39577391743659973,3.5,True,1.0,,,71,1.0,0.0,72.33333333333333,1020.0778389360648,running,0.0,125.04417419433594,0.18858300149440765
6,0,hard_forward_08,-1.1999298454050915,-0.4999978854875207,2.44805580991063e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1016.290118667874,True,False,False,0.4700952360558094,0.4871179461479187,0.8,0.3418834443716124,0.3418834443716124,0.45811655562838766,0,0,0.5124344229698181,3.5,False,0.8571428571428571,,,47,1.0,0.0,68.71428571428571,1019.536736040609,running,-585.1035766601562,167.31752014160156,0.18715541064739227
7,0,hard_forward_08,-0.9999311937543275,-0.4999974291173444,2.2353049228119004e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1018.2979611350221,True,False,False,0.7065476353985233,0.4168493449687958,1.0,0.3497221148343782,0.3497221148343782,0.6502778851656218,18,0,0.4276449382305145,3.5,True,0.875,,,71,1.0,0.0,69.0,1019.3818891774106,running,0.0,185.3723907470703,0.1844191551208496
8,0,hard_forward_08,-1.199931314695006,-0.49999785622212,2.1841743022797004e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1016.3255462860562,True,False,False,0.48051557666975714,0.47674205899238586,0.8,0.34273874410252997,0.34273874410252997,0.4572612558974701,0,0,0.49047186970710754,3.5,False,0.7777777777777778,,,49,1.0,0.0,66.77777777777777,1019.0422955228156,running,-581.236328125,116.89338684082031,0.18109193444252014
9,0,hard_forward_08,-0.9999313222578877,-0.499997530151981,2.0745721568508325e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1019.1971827716293,True,False,False,0.7047932180945293,0.3758450150489807,1.0,0.34266401684679604,0.34266401684679604,0.657335983153204,21,0,0.39131999015808105,3.5,True,0.8,,,72,1.0,0.0,67.3,1019.0577842476971,running,-591.662353515625,77.29879760742188,0.17664597928524017
