episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,waypoints_reached,waypoint_count,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,5,hard_two_turn_sequences,-1.619931738608667,-0.2999987985969834,2.1416567651329778e-06,local_goal_sequence,0.38,0.2,0.0,-0.15,1.25,-1.57,1068.5236527669797,True,False,False,0.8611640328221035,0.3958657383918762,0.42941821107167777,0.2752934405908505,0.2752934405908505,0.1541247704808273,84,54,2,3,0.4071769118309021,0.4152996838092804,True,1.0,,,103,1.0,0.0,103.0,1068.5236527669797,running,0.0,6920.521484375,0.12430854141712189
1,5,hard_two_turn_sequences,-1.6499315479131618,-0.339998884316393,2.2233065417944825e-06,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1053.1760493625052,True,False,False,0.768002547719624,0.4176047146320343,0.3848376280978772,0.27485417042875987,0.27485417042875987,0.10998345766911732,54,42,2,3,0.42814135551452637,0.4176047146320343,True,1.0,,,76,1.0,0.0,89.5,1060.8498510647423,running,0.0,10594.19921875,0.1169937327504158
2,5,hard_two_turn_sequences,-1.6199237803186364,-0.2999990612418796,1.994740900887974e-06,local_goal_sequence,0.38,0.2,0.0,-1.05,1.25,-1.57,1052.173247160751,True,False,False,0.8845183489244399,0.37361133098602295,0.4294182110716777,0.27915800298632976,0.27915800298632976,0.15026020808534796,70,45,2,3,0.4520973861217499,0.37361133098602295,True,1.0,,,85,1.0,0.0,88.0,1057.9576497634118,running,-411.5074157714844,1772.401123046875,0.12349540740251541
3,5,hard_two_turn_sequences,-1.6199308079303842,-0.29999936509297875,2.645935436422613e-06,local_goal_sequence,0.38,0.2,0.0,1.05,1.25,-1.57,1061.3016497228948,True,False,False,0.8535922528176231,0.3786923289299011,0.4294182110716778,0.27529656168267264,0.27529656168267264,0.1541216493890052,64,43,2,3,0.4222698509693146,0.3786923289299011,True,1.0,,,82,1.0,0.0,86.5,1058.7936497532826,running,-421.5987854003906,4400.009765625,0.1253768503665924
4,5,hard_two_turn_sequences,-1.6499308841302254,-0.6599989048950458,2.1780882076776908e-06,local_goal_sequence,0.35,-0.16,0.0,-0.15,-1.25,1.57,965.7344792999885,True,False,False,0.9172132708256955,0.1514110416173935,0.38483762809787714,0.27587633748184587,0.27587633748184587,0.10896129061603127,71,11,2,3,0.1514110416173935,0.5211533308029175,True,1.0,,,88,1.0,0.0,86.8,1040.1818156626236,running,-339.5127258300781,11562.947265625,0.13455671072006226
5,5,hard_two_turn_sequences,-1.6499308456858341,-0.6599988582159065,2.278061356773533e-06,local_goal_sequence,0.35,-0.16,0.0,-0.15,1.25,-1.57,1030.0399280726679,True,False,False,0.8768226758147486,0.22303730249404907,0.38483762809787697,0.2779509497555911,0.2779509497555911,0.10688667834228588,78,20,2,3,0.22303730249404907,0.5205946564674377,True,1.0,,,93,1.0,0.0,87.83333333333333,1038.4915010642978,running,0.0,1702.614501953125,0.14304475486278534
6,5,hard_two_turn_sequences,-1.6199338208280143,-0.2999988723998729,2.4057403748559774e-06,local_goal_sequence,0.38,0.2,0.0,1.05,1.25,-1.57,1061.1127247777943,True,False,False,0.8687935022964567,0.3854511082172394,0.42941821107167777,0.27471616832409035,0.27471616832409035,0.15470204274758742,69,44,2,3,0.3854511082172394,0.42010536789894104,True,1.0,,,88,1.0,0.0,87.85714285714286,1041.7231044519401,running,0.0,225.77642822265625,0.14773832261562347
7,5,hard_two_turn_sequences,-1.6499322582757743,-0.339998955680084,2.4642096012916106e-06,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1051.7267837149031,True,False,False,0.7978847463607806,0.40411242842674255,0.38483762809787714,0.27196545699669533,0.27196545699669533,0.1128721711011818,55,45,2,3,0.44599077105522156,0.40411242842674255,True,1.0,,,80,1.0,0.0,86.875,1042.9735643598106,running,0.0,277.8143310546875,0.15118077397346497
8,5,hard_two_turn_sequences,-1.6499368035901854,-0.6599989285021705,2.1563074467688926e-06,local_goal_sequence,0.35,-0.16,0.0,1.05,-1.25,1.57,1052.1947250565322,True,False,False,0.7632654953983572,0.4088532328605652,0.3848376280978771,0.2777940865485586,0.2777940865485586,0.1070435415493185,55,51,2,3,0.4088532328605652,0.4364241659641266,True,1.0,,,81,1.0,0.0,86.22222222222223,1043.9981377705574,running,-416.689453125,716.3565063476562,0.1487484723329544
9,5,hard_two_turn_sequences,-1.619929939132389,-0.6999987623300303,2.287078593848807e-06,local_goal_sequence,0.38,-0.2,0.0,0.55,-1.75,1.57,1052.878697170924,True,False,False,0.936192834559281,0.28273284435272217,0.42941821107167794,0.2771557916256002,0.2771557916256002,0.1522624194460777,78,52,2,3,0.446331650018692,0.31231603026390076,True,1.0,,,98,1.0,0.0,87.4,1044.886193710594,running,-351.3787536621094,2079.440185546875,0.14745205640792847
10,5,hard_two_turn_sequences,-1.649930843516767,-0.6599988670295857,2.2766297785941256e-06,local_goal_sequence,0.35,-0.16,0.0,-0.55,1.75,-1.57,1049.312409827726,True,False,False,0.7665685314244824,0.3990529179573059,0.3848376280978773,0.26987091638202676,0.26987091638202676,0.11496671171585054,55,49,2,3,0.3990529179573059,0.4437316060066223,True,1.0,,,77,1.0,0.0,86.45454545454545,1045.2885769939696,running,0.0,464.85479736328125,0.15079782903194427
11,5,hard_two_turn_sequences,-1.649932989718053,-0.6599989977471276,2.2640354758787788e-06,local_goal_sequence,0.35,-0.16,0.0,-1.05,-1.25,1.57,1052.2839519213126,True,False,False,0.7571979063904305,0.38341042399406433,0.3848376280978772,0.277290087897269,0.277290087897269,0.1075475402006082,61,52,2,3,0.38341042399406433,0.4765084683895111,True,1.0,,,85,1.0,0.0,86.33333333333333,1045.8715249045815,running,-390.135986328125,391.892578125,0.15070953965187073
12,5,hard_two_turn_sequences,-1.6199338322501704,-0.29999891181110594,2.3183439098393773e-06,local_goal_sequence,0.38,0.2,0.0,-0.15,-1.25,1.57,1064.019754909991,True,False,False,0.85596403392042,0.39639097452163696,0.4294182110716776,0.2764397317728304,0.2764397317728304,0.15297847929884723,69,46,2,3,0.40816840529441833,0.39639097452163696,True,1.0,,,86,1.0,0.0,86.3076923076923,1047.2675425973052,running,-391.524658203125,192.5909423828125,0.14842644333839417
13,5,hard_two_turn_sequences,-1.6199317363838657,-0.29999881600182804,2.1104023839140633e-06,local_goal_sequence,0.38,0.2,0.0,-0.15,1.25,-1.57,1066.4814288701796,True,False,False,0.8314823488033469,0.37491756677627563,0.42941821107167766,0.2757630294400857,0.2757630294400857,0.15365518163159197,66,50,2,3,0.4136028289794922,0.37491756677627563,True,1.0,,,89,1.0,0.0,86.5,1048.6399630453677,running,0.0,181.14654541015625,0.14483094215393066
14,5,hard_two_turn_sequences,-1.6550637859367658,-0.3286406085513778,0.03085577140297465,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1053.940293029854,True,False,False,0.7696109179159415,0.40027254819869995,0.3848376280978771,0.27581761787304737,0.27581761787304737,0.10902001022482971,58,49,2,3,0.4311554431915283,0.4075876772403717,True,1.0,,,87,1.0,0.0,86.53333333333333,1048.9933183776668,running,-434.90899658203125,238.25437927246094,0.14106032252311707
15,5,hard_two_turn_sequences,-1.6499315828719423,-0.3399988958131336,2.1755193648707458e-06,local_goal_sequence,0.35,0.16,0.0,1.05,1.25,-1.57,1049.6092137701655,True,False,False,0.7674800691848415,0.3941888213157654,0.3848376280978771,0.27296796398206213,0.27296796398206213,0.11186966411581495,53,46,2,3,0.46501022577285767,0.3941888213157654,True,1.0,,,77,1.0,0.0,85.9375,1049.031811839698,running,0.0,294.0373840332031,0.13910728693008423
16,5,hard_two_turn_sequences,-1.6499315853174916,-0.3399988941112807,2.192540828251025e-06,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1051.8664282585478,True,False,False,0.7557431798454153,0.40580281615257263,0.3848376280978772,0.2796300223604467,0.2796300223604467,0.10520760573743049,52,46,2,3,0.4415518641471863,0.40580281615257263,True,1.0,,,79,1.0,0.0,85.52941176470588,1049.1985539819834,running,-427.4321594238281,344.833740234375,0.13791535794734955
17,5,hard_two_turn_sequences,-1.6499299446132392,-0.6599992357400899,2.5894852732217754e-06,local_goal_sequence,0.35,-0.16,0.0,-1.05,1.25,-1.57,1050.6812428545943,True,False,False,0.7705660465847118,0.3924156129360199,0.3848376280978772,0.2710589237520913,0.2710589237520913,0.11377870434578591,55,46,2,3,0.3924156129360199,0.470630019903183,True,1.0,,,76,1.0,0.0,85.0,1049.2809255860172,running,-450.9566650390625,129.05575561523438,0.13742351531982422
